"Date","JYP ENTERTAINMENT","SM ENTERTAINMENT","YG ENTERTAINMENT","FNC ENTERTAINMENT","CUBE ENTERTAINMENT"
"200506","736520,4","664793,30","557036,30","85614,60","94469,70"
"200507","738295,1","664793,30","563407,60","86045,50","95931,30"
"200508","743619,9","664793,30","557036,30","85327,30","95134,00"
"200511","729421,6","647206,10","547024,10","84896,30","93672,40"
"200512","713449,1","626101,60","535191,70","82741,60","89022,10"
"200513","736520,4","630791,50","557946,40","81879,70","89553,50"
"200514","759592,4","630791,50","555215,80","81448,80","88756,30"
"200515","756042,9","610859,40","537012,00","80730,60","93008,10"
"200518","757817,6","610859,40","554305,70","81161,50","93008,10"
"200519","853654,2","658930,90","604366,10","82885,30","93539,60"
"200520","844780,6","649551,10","609827,30","83459,90","92078,00"
"200521","855428,9","648378,60","598904,90","83316,20","90882,30"
"200522","814609,8","633136,40","573419,60","82310,60","88091,90"
"200525","819934,0","633136,40","571599,30","81017,80","89287,80"
"200526","837681,1","642516,30","584341,90","82167,00","91413,70"
"200527","844780,6","643688,70","585252,10","83459,90","95931,30"
"200528","811060,4","619066,80","551575,10","82167,00","106693,60"
"200529","811060,4","609686,90","538832,40","82167,00","107756,60"
"200601","839455,8","630791,50","554305,70","85183,60","109350,90"
"200602","825258,1","637826,40","550664,90","87194,70","118784,70"
"200603","823483,4","638998,80","554305,70","87625,60","110546,80"
"200604","809285,7","629619,00","547024,10","86620,10","110015,30"
"200605","818159,3","636653,90","544293,60","88487,60","112141,20"
"200608","837681,1","654241,00","579791,00","94808,10","112274,10"
"200609","828807,6","655413,40","579791,00","93515,30","112938,40"
"200610","835906,4","644861,20","581611,40","92078,80","113602,80"
"200611","811060,4","624929,10","582521,60","88631,20","111211,10"
"200612","777340,2","597962,20","553425,90","86907,40","107889,40"
"200615","718773,3","548718,30","519747,00","80443,30","97791,40"
"200616","738295,1","567477,80","541592,80","83603,50","104966,30"
"200617","740070,5","566305,40","540682,50","84896,30","108155,10"
"200618","722322,7","551063,20","538862,00","83459,90","102707,60"
"200619","720548,0","554580,60","542503,00","83316,20","101910,30"
"200622","704574,9","542855,90","554336,10","84034,40","99917,30"
"200623","706350,3","542855,90","567989,70","82741,60","100980,30"
"200624","706350,3","551063,20","573451,10","84178,10","101644,60"
"200625","677954,3","529958,60","591655,90","83316,20","99784,40"
"200626","679729,0","534648,60","616232,40","84034,40","99917,30"
"200629","679729,0","514716,50","673577,60","85901,90","98721,50"
"200630","752493,5","568650,30","678128,80","89205,80","105232,00"
"200701","768465,9","562787,90","648090,80","84896,30","100050,10"
"200702","814609,8","624929,10","718178,90","88918,50","104966,30"
"200703","860753,1","669483,20","705435,40","89924,10","108022,30"
"200706","894473,3","670655,70","713628,00","86045,50","108420,90"
"200707","885599,8","689415,10","702705,10","87625,60","115595,80"
